Component;csc;component size
org.sigaept.edu.negocio.ejb.ManterTreinamentoEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterConjuntoTemplateRelatorioEstagioEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterVerificacaoCasoEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterHorarioAulaEJB, ;2;1
org.sigaept.edu.negocio.ejb.MenuEJB, ;2;1
org.sigaept.edu.negocio.ejb.ManterEixoTecnologicoEJB, ;2;1
org.sigaept.edu.negocio.ejb.ManterVisitaTecnicaGerencialEJB, ;4;1
org.sigaept.edu.negocio.ejb.ManterPedidoRenovacaoMatriculaEJB, ;8;1
org.sigaept.edu.negocio.ejb.ManterStatusAlunoEJB, ;2;1
org.sigaept.edu.negocio.ejb.ManterCursoEJB, ;18;1
org.sigaept.edu.negocio.ejb.ManterConvenioEJB, ;14;1
