Type;Class;Amount Business Dependencies; Amount Persistence Dependencies
business;org.sigaept.edu.negocio.ejb.ManterOrgaosExternos;0;0
persistence;org.sigaept.edu.dao.PCCDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTurmaEJB;0;6
business;org.sigaept.edu.negocio.ejb.ManterSituacaoCursoEJB;0;0
persistence;org.sigaept.edu.dao.ProjetoPedagogicoCursoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAuditoriaRecuperacaoSenhaEJB;0;0
persistence;org.sigaept.edu.dao.ResultadoFinalConceitoDAO;0;0
business;org.sigaept.edu.negocio.ejb.AuditObjetoEJB;0;0
persistence;org.sigaept.edu.dao.TipoTelefoneDAO;0;0
persistence;org.sigaept.edu.dao.TreinamentoDAO;0;0
business;org.sigaept.edu.negocio.ejb.AuditColecaoEJB;0;0
persistence;org.sigaept.edu.dao.TipoEventoProjetoPesquisaExtensaoDAO;0;0
persistence;org.sigaept.edu.dao.AuditDadosDAO;0;0
persistence;org.sigaept.edu.dao.TCCDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoEquipamentoEJB;0;0
persistence;org.sigaept.edu.dao.AlunoTrabalhadorDAO;0;0
persistence;org.sigaept.edu.dao.TipoCertificadoMilitarDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAreaTematicaEJB;0;0
persistence;org.sigaept.edu.dao.AvaliacaoConceitoDAO;0;0
persistence;org.sigaept.edu.dao.TipoDataEspecialDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterNivelFuncionalServidorEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterInscricaoElementoCurricularEJB;1;16
business;org.sigaept.edu.negocio.ejb.ManterAlunoEJB;0;33
persistence;org.sigaept.edu.dao.StatusAlunoClasseDAO;0;0
persistence;org.sigaept.edu.dao.TipoLancamentoDadosHistoricoDAO;0;0
persistence;org.sigaept.edu.dao.StatusAlunoCursoDAO;0;0
persistence;org.sigaept.edu.dao.ConvenioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoAvaliacaoEJB;0;0
persistence;org.sigaept.edu.dao.RequisitoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterProgramaEducacaoSuperiorEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterOcorrenciaAlunoEJB;0;5
persistence;org.sigaept.edu.dao.SistemaEnsinoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterCategoriaProgramaEJB;0;0
persistence;org.sigaept.edu.dao.CategoriaAmbienteAprendizagemDAO;0;0
persistence;org.sigaept.edu.dao.AvaliacaoDAO;0;0
persistence;org.sigaept.edu.dao.TipoAbonoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterFonteFinanciamentoEJB;0;0
persistence;org.sigaept.edu.dao.CursoDAO;0;0
persistence;org.sigaept.edu.dao.NivelEnsinoDAO;0;0
persistence;org.sigaept.edu.dao.RelatorioFinalEstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterRelatorioAcompanhamentoEJB;0;4
business;org.sigaept.edu.negocio.ejb.ManterProjetoExtensaoEJB;0;22
persistence;org.sigaept.edu.dao.ResultadoAvaliacaoConceitoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterUnidadeFederativaEJB;0;0
persistence;org.sigaept.edu.dao.TermoCompromissoDAO;0;0
persistence;org.sigaept.edu.dao.PlanoEstudoClasseDAO;0;0
persistence;org.sigaept.edu.dao.AcaoDAO;0;0
persistence;org.sigaept.edu.dao.SituacaoAvaliacaoProjetoExtensaoDAO;0;0
persistence;org.sigaept.edu.dao.DescricaoCriterioClassificacaoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAreaUnescoEJB;0;0
persistence;org.sigaept.edu.dao.AuditTabelaDAO;0;0
persistence;org.sigaept.edu.dao.AreaProcedenciaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoAtoAutorizativoEJB;0;0
persistence;org.sigaept.edu.dao.PermissaoDAO;0;0
persistence;org.sigaept.edu.dao.TurnoDAO;0;0
persistence;org.sigaept.edu.dao.EquipamentoEnsinoDAO;0;0
persistence;org.sigaept.edu.dao.TipoParticipacaoInstituicaoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterRelatorioAlunoEJB;0;19
persistence;org.sigaept.edu.dao.ContextoPermissaoAcessoDAO;0;0
persistence;org.sigaept.edu.dao.ValidaTipoDocumentoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAreaEstagioEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterOrganizacaoAcademicaEJB;0;0
persistence;org.sigaept.edu.dao.TipoTermoEstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterElementoOrganizacionalEJB;0;22
business;org.sigaept.edu.negocio.ejb.ManterEixoTecnologicoCursoNaoCatalagoEJB;0;0
persistence;org.sigaept.edu.dao.RegimeMatriculaDAO;0;0
persistence;org.sigaept.edu.dao.MunicipioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterGerenciaEnadeEJB;0;1
persistence;org.sigaept.edu.dao.FormaAvaliacaoDAO;0;0
persistence;org.sigaept.edu.dao.PoloEadDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPlanoEstudoEJB;2;1
persistence;org.sigaept.edu.dao.AuditSessaoDAO;0;0
persistence;org.sigaept.edu.dao.GrupoDAO;0;1
business;org.sigaept.edu.negocio.ejb.ManterProcedimentoTreinamentoEJB;0;1
persistence;org.sigaept.edu.dao.PreProjetoEstagioDAO;0;0
persistence;org.sigaept.edu.dao.EtapaAvaliacaoConceitoDAO;0;0
persistence;org.sigaept.edu.dao.TipoSanguineoDAO;0;0
persistence;org.sigaept.edu.dao.IngressoDAO;0;0
persistence;org.sigaept.edu.dao.AulaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterSupervisaoEstagioEJB;0;13
persistence;org.sigaept.edu.dao.InstituicaoExternaDAO;0;0
persistence;org.sigaept.edu.dao.TipoFeriadoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterFuncaoServidorEJB;0;0
persistence;org.sigaept.edu.dao.TemplateRelatorioEstagioDAO;0;0
persistence;org.sigaept.edu.dao.RelatorioFinalEstagioTramiteDAO;0;0
persistence;org.sigaept.edu.dao.GrauFormacaoDAO;0;0
persistence;org.sigaept.edu.dao.AuditColecaoDAO;0;0
persistence;org.sigaept.edu.dao.StatusAlunoDAO;0;0
persistence;org.sigaept.edu.dao.ModalidadeEnsinoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterCursoEJB;0;16
business;org.sigaept.edu.negocio.ejb.ManterTipoEixoTecnologicoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterCancelamentoMatriculaCursoEJB;0;1
persistence;org.sigaept.edu.dao.OrganizacaoAcademicaDAO;0;0
business;org.sigaept.edu.negocio.ejb.AuditDadosEJB;0;0
persistence;org.sigaept.edu.dao.ProcedimentoElementoCurricularDao;0;0
persistence;org.sigaept.edu.dao.DocenteDAO;0;0
business;org.sigaept.edu.negocio.ejb.AuditStatusTransacaoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterCancelamentoMatriculaClasseEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterSituacaoAlunoCursoEJB;0;22
persistence;org.sigaept.edu.dao.TCCMatriculaDAO;0;0
persistence;org.sigaept.edu.dao.TipoEstagioObrigatorioDAO;0;0
persistence;org.sigaept.edu.dao.AuditObjetoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAgenciaPagamentoEJB;0;0
persistence;org.sigaept.edu.dao.ConjuntoRegrasAcademicasDAO;0;1
business;org.sigaept.edu.negocio.ejb.ManterTipoSanguineoEJB;0;0
persistence;org.sigaept.edu.dao.ReservaAmbienteDeAprendizagemDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterVersaoEJB;0;1
persistence;org.sigaept.edu.dao.TermoAditivoDAO;0;0
persistence;org.sigaept.edu.dao.ResultadoEtapaAvaliacaoConceitoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterLancamentoDadosHistoricoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterAvaliacaoDocenteEJB;0;4
business;org.sigaept.edu.negocio.ejb.ManterEixoTecnologicoCursoSuperiorEJB;0;0
persistence;org.sigaept.edu.dao.EditalProcessoSeletivoDAO;0;0
persistence;org.sigaept.edu.dao.EquivalenciaDAO;0;0
persistence;org.sigaept.edu.dao.ReservaEquipamentoEnsinoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterConvenioEJB;0;10
persistence;org.sigaept.edu.dao.TipoParticipanteEnadeDAO;0;0
persistence;org.sigaept.edu.dao.PCCMatriculaDAO;0;0
persistence;org.sigaept.edu.dao.TipoAtividadeComplementarDAO;0;0
persistence;org.sigaept.edu.dao.TipoPendenciaMatriculaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterModalidadeCursoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterConfiguracaoGeralEJB;0;0
persistence;org.sigaept.edu.dao.RegimeTrabalhoDAO;0;0
persistence;org.sigaept.edu.dao.RGDAO;0;0
persistence;org.sigaept.edu.dao.DataEspecialDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAreaIngressoEJB;0;0
persistence;org.sigaept.edu.dao.EditalProjetoPesquisaExtensaoDAO;0;0
persistence;org.sigaept.edu.dao.VerificacaoCasoDAO;0;0
persistence;org.sigaept.edu.dao.UsuarioDAO;0;0
persistence;org.sigaept.edu.dao.TipoIngressoDAO;0;0
persistence;org.sigaept.edu.dao.ProgramaDAO;0;0
persistence;org.sigaept.edu.dao.PessoaFisicaDAO;0;0
persistence;org.sigaept.edu.dao.InstituicaoOrigemDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoTelefoneEJB;0;0
persistence;org.sigaept.edu.dao.AtoAutorizativoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAvaliarProjetoExtensaoEJB;0;3
persistence;org.sigaept.edu.dao.TermoEstagioDAO;0;0
persistence;org.sigaept.edu.dao.AuditAcessoDAO;0;0
persistence;org.sigaept.edu.dao.ParentescoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterCargoEJB;0;0
persistence;org.sigaept.edu.dao.ServidorPentahoDAO;0;0
persistence;org.sigaept.edu.dao.GradeHorariaMatrizCurricularDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterRelatorioPentahoEJB;0;3
persistence;org.sigaept.edu.dao.CategoriaConvenioDAO;0;0
business;org.sigaept.edu.negocio.ejb.FecharPeriodoLetivoClasseEJB;1;17
persistence;org.sigaept.edu.dao.DescricaoRegraDAO;0;0
